"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","492","Unsuccessful registration with invalid data","tests.users_tests","Sun Dec 07 19:42:45 UTC 2025","passed","Sun Dec 07 19:42:46 UTC 2025","TestUserRegistration","test_registration","",""
"","511","Try to update category by non-authenticated user","tests.categories_tests","Sun Dec 07 19:42:42 UTC 2025","passed","Sun Dec 07 19:42:42 UTC 2025","TestUpdateCategory","test_update_category","",""
"","6020","Try to update category by non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:42:34 UTC 2025","passed","Sun Dec 07 19:42:40 UTC 2025","TestUpdateCategory","test_update_category","",""
"","1218","Successful registration","tests.users_tests","Sun Dec 07 19:42:46 UTC 2025","passed","Sun Dec 07 19:42:47 UTC 2025","TestUserRegistration","test_registration","",""
"","498","Failed authorization with invalid auth data","tests.users_tests","Sun Dec 07 19:42:43 UTC 2025","passed","Sun Dec 07 19:42:44 UTC 2025","TestAuth","test_auth","",""
"","5992","Category creation: Access denied for non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:42:34 UTC 2025","passed","Sun Dec 07 19:42:40 UTC 2025","TestPostCategory","test_create_category","",""
"","1236","Successful registration","tests.users_tests","Sun Dec 07 19:42:45 UTC 2025","passed","Sun Dec 07 19:42:47 UTC 2025","TestUserRegistration","test_registration","",""
"","488","Verify service is working","tests.root_tests","Sun Dec 07 19:42:45 UTC 2025","passed","Sun Dec 07 19:42:45 UTC 2025","TestRoot","test_root","",""
"","515","Failed authorization with invalid auth data","tests.users_tests","Sun Dec 07 19:42:45 UTC 2025","passed","Sun Dec 07 19:42:45 UTC 2025","TestAuth","test_auth","",""
"","487","Try to delete category by non-authenticated user","tests.categories_tests","Sun Dec 07 19:42:41 UTC 2025","passed","Sun Dec 07 19:42:41 UTC 2025","TestDeleteCategory","test_delete_category","",""
"","509","Unsuccessful registration with invalid data","tests.users_tests","Sun Dec 07 19:42:46 UTC 2025","passed","Sun Dec 07 19:42:46 UTC 2025","TestUserRegistration","test_registration","",""
"","6039","Try to delete category by non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:42:34 UTC 2025","passed","Sun Dec 07 19:42:40 UTC 2025","TestDeleteCategory","test_delete_category","",""
"","1005","Failed authorization with invalid auth data","tests.users_tests","Sun Dec 07 19:42:42 UTC 2025","passed","Sun Dec 07 19:42:43 UTC 2025","TestAuth","test_auth","",""
"","742","Successfully get all categories","tests.categories_tests","Sun Dec 07 19:42:34 UTC 2025","passed","Sun Dec 07 19:42:34 UTC 2025","TestGetCategories","test_get_categories","",""
"","491","Unsuccessful registration with invalid data","tests.users_tests","Sun Dec 07 19:42:47 UTC 2025","passed","Sun Dec 07 19:42:47 UTC 2025","TestUserRegistration","test_registration","",""
"","2752","Try to update category by non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:42:42 UTC 2025","passed","Sun Dec 07 19:42:44 UTC 2025","TestUpdateCategory","test_update_category","",""
"","747","Successful authorization","tests.users_tests","Sun Dec 07 19:42:43 UTC 2025","passed","Sun Dec 07 19:42:44 UTC 2025","TestAuth","test_auth","",""
"","489","Unsuccessful registration with invalid data","tests.users_tests","Sun Dec 07 19:42:46 UTC 2025","passed","Sun Dec 07 19:42:47 UTC 2025","TestUserRegistration","test_registration","",""
"","510","Unsuccessful registration with invalid data","tests.users_tests","Sun Dec 07 19:42:49 UTC 2025","passed","Sun Dec 07 19:42:49 UTC 2025","TestUserRegistration","test_registration","",""
"","721","Category creation: Access denied for non-authenticated user","tests.categories_tests","Sun Dec 07 19:42:34 UTC 2025","passed","Sun Dec 07 19:42:34 UTC 2025","TestPostCategory","test_create_category","",""
"","491","Unsuccessful registration with invalid data","tests.users_tests","Sun Dec 07 19:42:48 UTC 2025","passed","Sun Dec 07 19:42:48 UTC 2025","TestUserRegistration","test_registration","",""
"","495","Verify service health","tests.root_tests","Sun Dec 07 19:42:41 UTC 2025","passed","Sun Dec 07 19:42:41 UTC 2025","TestHealth","test_health","",""
"","1208","Successful registration","tests.users_tests","Sun Dec 07 19:42:44 UTC 2025","passed","Sun Dec 07 19:42:45 UTC 2025","TestUserRegistration","test_registration","",""
"","516","Unsuccessful registration with invalid data","tests.users_tests","Sun Dec 07 19:42:47 UTC 2025","passed","Sun Dec 07 19:42:48 UTC 2025","TestUserRegistration","test_registration","",""
"","2798","Category creation: Access denied for non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:42:41 UTC 2025","passed","Sun Dec 07 19:42:44 UTC 2025","TestPostCategory","test_create_category","",""
"","5619","Try to delete category by non-admin roles (seller, buyer)","tests.categories_tests","Sun Dec 07 19:42:34 UTC 2025","passed","Sun Dec 07 19:42:39 UTC 2025","TestDeleteCategory","test_delete_category","",""
"","497","Failed authorization with invalid auth data","tests.users_tests","Sun Dec 07 19:42:46 UTC 2025","passed","Sun Dec 07 19:42:46 UTC 2025","TestAuth","test_auth","",""
"","489","Unsuccessful registration with invalid data","tests.users_tests","Sun Dec 07 19:42:48 UTC 2025","passed","Sun Dec 07 19:42:48 UTC 2025","TestUserRegistration","test_registration","",""
